workoutName,workoutTime,workoutDetails,category,equipment
J.J,For Time,185 lbs Squat clean; 1 rep\n10 Parallette handstand push-ups\n185 lbs Squat clean; 2 reps\n9 Parallette handstand push-ups\n185 lbs Squat clean; 3 reps\n8 Parallette handstand push-ups\n185 lbs Squat clean; 4 reps\n7 Parallette handstand push-ups\n185 lbs Squat clean; 5 reps\n6 Parallette handstand push-ups\n185 lbs Squat clean; 6 reps\n5 Parallette handstand push-ups\n185 lbs Squat clean; 7 reps\n4 Parallette handstand push-ups\n185 lbs Squat clean; 8 reps\n3 Parallette handstand push-ups\n185 lbs Squat clean; 9 reps\n2 Parallette handstand push-ups\n185 lbs Squat clean; 10 reps\n1 Parallette handstand push-up,Hero,"BARBELL, PARALLETTE"
JAG 28,For Time,Run 800 meters\n28 Kettlebell swings; 2 pood\n28 Strict Pull-ups\n28 Kettlebell clean and jerk; 2 pood each\n28 Strict Pull-ups\nRun 800 meters,Hero,"PULL UP BAR, KETTLEBELL"
BRIAN,For Time,Three rounds\n15 foot Rope climb; 5 ascents\n185 lbs Back squat; 25 reps,Hero,"BARBELL, ROPE"
NICK,For Time,Twelve rounds\n45 lbs Dumbbell hang squat clean; 10 reps\n6 Handstand push-ups on dumbbells,Hero,DUMBBELL
STRANGE,For Time,Eight rounds\n600 meter Ru\n1.5 pood Weighted pull-up; 11 rep\n11 Walking lunge steps; carrying 1.5 pood kettlebell\n1.5 pood Kettlebell thruster; 11 reps,Hero,"PULL UP BAR, KETTLEBELL"
TUMILSON,For Time,Eight rounds\nRun 200 meter\n11 Dumbbell burpee deadlifts; 60 lbs dumbbells,Hero,DUMBBELL
SHIP,For Time,Nine rounds\n185 lbs Squat clean; 7 reps\n8 Burpee box jumps; 36in box,Hero,"BARBELL, BOX"
JARED,For Time,Four rounds\nRun 800 meter\n40 Pull-up\n70 Push-ups,Hero,PULL UP BAR
TULLY,For Time,Four rounds\nSwim 200 meter\n40 lbs Dumbbell squat cleans; 23 reps,Hero,DUMBBELL
HOLLEYMAN,For Time,Thirty rounds\n5 Wall ball shots; 20 lbs ball\n3 Handstand push-ups\n225 lbs Power clean; 1 rep,Hero,"BARBELL, MED BALL"
ADRIAN,For Time,Seven rounds\n3 Forward rolls\n5 Wall climbs\n7 Toes to bar\n9 Box jumps; 30in box,Hero,"PULL UP BAR, BOX"
GLEN,For Time,135 lbs Clean and jerk; 30 rep\nRun 1 mil\n15 foot Rope climb; 10 ascent\nRun 1 mil\n100 Burpees,Hero,"BARBELL, ROPE"
TOMMY V,AMRAP: 25 Min,7 Muscle-up\n155 lbs Thruster; 11 rep\n14 Toes-to-bar,Hero,"PULL UP BAR, BARBELL"
RALPH,For Time,Four rounds\n250 lbs Deadlift; 8 rep\n16 Burpee\n15 foot Rope climb; 3 ascent\nRun 600 meters,Hero,"BARBELL, ROPE"
CLOVIS,For Time,Run 10 mile\n150 Burpee pull-up\nPartition the run and burpee pull-ups as needed.,Hero,PULL UP BAR
WESTON,For Time,Five rounds\nRow 1000 meter\n200 meter Farmer carry; 45 lbs dumbbell\n45 lbs dumbbell Waiter walk; 50 meters; Right arm\n45 lbs dumbbell Waiter walk; 50 meters; Left arm,Hero,"DUMBBELL, ROWER"
LOREDO,For Time,Six rounds\n24 Squat\n24 Push-up\n24 Walking lunge step\nRun 400 meters,Hero,BARBELL
SEAN,For Time,Ten rounds\n11 Chest to bar pull-up\n75 lbs Front squat; 22 reps,Hero,"PULL UP BAR, BARBELL"
HORTMAN,AMRAP: 45 Min,Run 800 meter\n80 Squat\n8 Muscle-ups,Hero,"PULL UP BAR, BARBELL"
HAMILTON,For Time,Three rounds\nRow 1000 meter\n50 Push-up\nRun 1000 meter\n50 Pull-ups,Hero,"ROWER, PULL UP BAR"
ZEUS,For Time,Three rounds\n30 Wall ball shots; 20 lbs bal\n75 lbs Sumo deadlift high-pull; 30 rep\n30 Box jump; 20in bo\n75 lbs Push press; 30 rep\nRow 30 calorie\n30 Push-up\nBody weight Back squat; 10 reps,Hero,"ROWER, BARBELL, BOX, MED BALL"
BARRAZA,AMRAP: 18 Min,Run 200 meter\n275 lbs Deadlift; 9 rep\n6 Burpee bar muscle-ups,Hero,"BARBELL, PULL UP BAR"
